shop,shop_url,website,category
UKJstudio,https://www.etsy.com/shop/UKJstudio,,
DesignWorkLLC,https://www.etsy.com/shop/DesignWorkLLC,,
BereaCraft,https://www.etsy.com/shop/BereaCraft,,signs and poke balls
HarborSouthDesigns,https://www.etsy.com/shop/HarborSouthDesigns,,pokeballs
5thStreetMakes,https://www.etsy.com/shop/5thStreetMakes,,christmas deco poke?
GB3dDesigns,https://www.etsy.com/shop/GB3dDesigns,,
ADHDartisans,https://www.etsy.com/shop/ADHDartisans,,pokeballs and dnd
Sander3DPrint,https://www.etsy.com/shop/Sander3DPrint,,pokeballs
EGx3D,https://www.etsy.com/shop/EGx3D,,mario
PrintWithPetunia,https://www.etsy.com/shop/PrintWithPetunia,,pokeballs
HurstProductLab,https://www.etsy.com/shop/HurstProductLab,,
PencilShortDesign,https://www.etsy.com/shop/PencilShortDesign,,
ProperCrafts,https://www.etsy.com/shop/ProperCrafts,,classic busts and statues
3DPrintPlaceDE,https://www.etsy.com/shop/3DPrintPlaceDE,,
DigitalStudioEXP,https://www.etsy.com/shop/DigitalStudioEXP,,
3DPrimeStudios,https://www.etsy.com/shop/3DPrimeStudios,,sculptures
GirdledGoodsShop,https://www.etsy.com/shop/GirdledGoodsShop,,
ChiclyBuilt,https://www.etsy.com/shop/ChiclyBuilt,,home general
TrinityDesignLabs,https://www.etsy.com/shop/TrinityDesignLabs,,
DelightfullyDutch,https://www.etsy.com/shop/DelightfullyDutch,,small deco
PrintlyChic,https://www.etsy.com/shop/PrintlyChic,,bookshelf related
3Ddruckstodel,https://www.etsy.com/shop/3Ddruckstodel,,bookshelf related
3DGeschenkeJM,https://www.etsy.com/shop/3DGeschenkeJM,,
StormyCreaTeam,https://www.etsy.com/shop/StormyCreaTeam,,
Worldthreedi,https://www.etsy.com/shop/Worldthreedi,,
FableForge3D,https://www.etsy.com/shop/FableForge3D,,
CoalRegionPrints,https://www.etsy.com/shop/CoalRegionPrints,,
Houseofcozycreations,https://www.etsy.com/shop/Houseofcozycreations,,cozy planters
LayerWise,https://www.etsy.com/shop/LayerWise,,
LeafyPlarent,https://www.etsy.com/shop/LeafyPlarent,,planters
KC3DPrintsUK,https://www.etsy.com/shop/KC3DPrintsUK,,
Astonix,https://www.etsy.com/shop/Astonix,,headphone holders
EceTheQueen,https://www.etsy.com/shop/EceTheQueen,,
PrintWithAust,https://www.etsy.com/shop/PrintWithAust,,clickers and random
Rustingo,https://www.etsy.com/shop/Rustingo,,
SayItLoudSIL,https://www.etsy.com/shop/SayItLoudSIL,,
WeLove3D,https://www.etsy.com/shop/WeLove3D,,
